document_id,index_row_id,application,submission_type,submission_no,original_url
f9d728a2681ae54c8fe36467,20061,016620,SUPPL,65,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/016620_S065_MACRODANTIN.pdf
7e01186bc8d14868d9c7168d,20063,016792,SUPPL,15,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/16792S015.pdf
7e01186bc8d14868d9c7168d,20064,016792,SUPPL,18,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/16792S015.pdf
8f5351aa58a289ec9b72644a,20065,016806,SUPPL,29,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/16672-s047_ovral_ovral-28.pdf
d9f91dfb72df8aa83fc950b2,20066,016831,SUPPL,11,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/16831_s011_efudex.pdf
ff3d1969a87a9b4d96cde473,20067,016831,SUPPL,30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/16831_s030_efudex.pdf
e42b3924e467500f725a9717,20068,016885,SUPPL,22,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/016885_S022_Lysodren.pdf
c291d0b77cf8a1eb5e821c28,20069,016997,SUPPL,41,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/16-774S073.pdf
350eda8ffba80cb218207b80,20070,017105,SUPPL,62,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017105_S062_TRANXENE_AP.pdf
b6f9810b31ed5ece9bb0aab3,20071,017351,SUPPL,27,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/17-351s027_Cortifoam.html
73e14ab890e01b11583db239,20072,017351,SUPPL,30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017351_s030_CortifoamTOC.html
a0eeca222fea827625ce0962,20073,017430,SUPPL,27,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/17-430s026s027_14-214s050s051_Negram.html
305fefdf3c3a4d80385ba745,20074,017516,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017516_OriginalApprovalPackage.pdf
d25f3dbdfef1a2b99474cbd7,20075,017521,SUPPL,63,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017521_s062_s063_DEXTROSE_INJ.pdf
317d31b2938b0ffe6c4e1d82,20076,017531,SUPPL,10,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017531_S010_TIGAN_CAPSULE_AP.pdf
371838b308348eeffdb69039,20077,017533,SUPPL,31,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/017533_S031_KLONOPIN_TABS_AP.pdf
0f8b73ca44f6e80f2cb14123,20078,017558,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017558_S000_RobinulTOC.html
580aeaa7d901018b1b6c7ce3,20079,017573,SUPPL,40,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/17573s040_vanceril_approv_admindocs.pdf
5c347cbfc935bce3879417f5,20080,017577,SUPPL,33,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/017577_s032&s033_DITROPAN TABS.pdf
fa341a1a8b81746f2f11e3b5,20081,017651,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/017651_ORIGINAL APPROVAL_PACKAGE.pdf
6dcc74ee5bbae35640857270,20082,017691,SUPPL,19,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-691S019_Diprosone.html
6dcc74ee5bbae35640857270,20083,017691,SUPPL,24,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/17-691S019_Diprosone.html
0c8c678b410a2bf0b1baf504,20084,017697,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s012.pdf
100ad8e3730778df61d0a749,20085,017697,SUPPL,13,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s013.pdf
edfd10c38fac44dc8d460147,20086,017697,SUPPL,14,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/017697Orig1s014.pdf
